SEDOL,Name,Holding,Value,Weight
B2493D0,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,9725,172404.95,0.008116495223252746
BNBPXW7,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,8057,170200.13,0.008012696515627867
BMDKMB5,SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,7008,169811.19,0.007994385964497332
BZ1MXR7,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,145289,169247.21,0.007967834865030582
5289837,ERSTE GROUP BANK AG COMMON STOCK EUR 0,3863,167539.34,0.007887431612705538
B03MYT9,TUPRAS-TURKIYE PETROL RAFINE,50663,166175.04,0.007823202978707016
BRBN103,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,133931,164216.2,0.007730984538905163
5216385,GRUPA KETY SA COMMON STOCK PLN 2.5,1238,162643.67,0.007656952834865218
5051605,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,12548,160741.19,0.007567387716042736
BR56KM3,ADES HOLDING CO COMMON STOCK SAR 1,39150,160053.53,0.00753501399878449
BLDC8Q1,TECOM GROUP PJSC COMMON STOCK AED,234111,158645.63,0.007468732760195822
B4PTLY0,KRUK SA COMMON STOCK PLN 1,1892,157289.04,0.007404867098247528
BDRN3H0,MOTUS HOLDINGS LTD COMMON STOCK ZAR,30065,155560.9,0.007323509573100413
B2RLCR0,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,3695,154120.45,0.007255695942782175
5996234,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,9203,152629.33,0.007185496865799195
BN33QN1,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,4593,152576.33,0.007183001727191908
4519449,KOMERCNI BANKA AS COMMON STOCK CZK 100,5652,151037.21,0.007110542902036292
7107250,OPAP SA COMMON STOCK EUR 0.3,11282,149382.33,0.007032634317537665
6349688,FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,22044,148574.46,0.006994601343449571
6158174,OOREDOO QPSC COMMON STOCK QAR 1,60427,146773.64,0.006909822182944389
6040958,AVI LTD COMMON STOCK ZAR 5,30154,145448.4,0.0068474324190213485
7124958,SARANTIS SA EUR1.53,15514,144368.51,0.006796593263726571
B03MZJ6,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,257214,142827.75,0.00672405723050839
X84C972,NOVATEK PJSC COMMON STOCK RUB 0.1,1268490,128746.76,0.006061151159228709
X84C970,NOVATEK PJSC COMMON STOCK RUB 0.1,103572,12370.27,0.0005823686464068854
BKBF694,ARABIAN CENTRES CO COMMON STOCK SAR 10,31957,136206.46,0.006412339564300017
X84C977,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,7119200,133658.33,0.006292378478651217
B03MTD8,TURKIYE SIGORTA AS COMMON STOCK TRY 1,453680,132856.4,0.006254625148399487
5393307,BANCA TRANSILVANIA SA COMMON STOCK RON 1,27608,131694.66,0.006199932651689493
B128FF8,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,4570,130800.86,0.006157854257591509
B03MYP5,TURKIYE GARANTI BANKASI AS COMMON STOCK TRY 1,53407,129503.79,0.006096790683377285
BPNZYP9,ARABIAN DRILLING CO COMMON STOCK SAR 10,5574,126983.12,0.005978122361995582
B0704T9,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,8660,120734.68,0.005683957760499039
X84C971,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,2041744,59115.4,0.002783039940098445
X84D1F9,ROSNEFT OIL CO PJSC COMMON STOCK RUB,1677948,41334.9,0.0019459680154405657
6105578,CLICKS GROUP LTD COMMON STOCK ZAR 1,4083,67590.47,0.0031820300222958104
X84C97E,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,3657350,54847.32,0.002582106898834487
