,Security Description,Symbol,Exchange,Currency,Holding Jun24,SP Today lc,fx gbp today,SP Today GBP,nav gbp today
44,TBC BANK GROUP PLC COMMON STOCK GBP 1,TBCG,LSE,GBX,7421.0,2990.0,0.01,29.900000000000002,221887.90000000002
45,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,0RUK,LSIN,HUF,30929.0,2750.0,0.002153,5.92075,183122.87675
46,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,2081,TADAWUL,SAR,4593.0,180.0,0.2016,36.288,166670.78399999999
47,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,0RCR,LSIN,EUR,28042.0,2.777,0.84891,2.3574230700000003,66106.85772894001
48,JUMBO SA COMMON STOCK EUR 0.88,0LRI,LSIN,EUR,8071.0,22.64024,0.84891,19.2195261384,155120.79546302638
49,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,0MQT,LSIN,EUR,9203.0,23.27001,0.84891,19.7541441891,181797.3889722873
50,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,4260,TADAWUL,SAR,9725.0,97.0,0.2016,19.5552,190174.32
51,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,DIB,DFM,AED,144384.0,6.05,0.20763,1.2561615,181369.62201599998
52,BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,BVT,JSE,ZAR,14151.0,27800.0,0.04233,11.76774,166525.28874
53,KRUK SA COMMON STOCK PLN 1,0Q3Y,LSIN,PLN,1892.0,256.0,0.19771,50.61376,95761.23392
54,AKBANK TAS COMMON STOCK TRY 1,AKBNK,BIST,TRY,111134.0,59.549999,0.02214,1.31843697786,146523.17509749325
55,CLICKS GROUP LTD COMMON STOCK ZAR 1,CLS,JSE,ZAR,11541.0,36122.0,0.04233,15.2904426,176466.9980466
56,DUBAI ELECTRICITY & WATER AU,DEWA,DFM,AED,361140.0,2.41,0.20763,0.5003883,180710.23066200002
57,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,4142,TADAWUL,SAR,8057.0,109.4,0.2016,22.05504,177697.45728
58,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,THYAO,BIST,TRY,22901.0,294.5,0.02214,6.52023,149319.78723
59,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,0NUG,LSE,HUF,74864.0,1090.0,0.002153,2.34677,175688.58928
60,SAUDI AWWAL BANK COMMON STOCK SAR 10,1060,TADAWUL,SAR,20423.0,36.25,0.2016,7.308,149251.28399999999
61,ADES HOLDING CO COMMON STOCK SAR 1,2382,TADAWUL,SAR,39150.0,20.84,0.2016,4.201344,164482.6176
62,METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,0KAZ,LSIN,EUR,5598.0,34.040001,0.84891,28.896897248909998,161764.83079939816
63,LUKOIL PJSC TOTAL,LKOH,ALOR,RUB,624696.0,6426.0,0.008331,53.535005999999996,33443104.108175997
64,MAGNIT PJSC COMMON STOCK RUB 0.01,MGNT,ALOR,RUB,180877.0,5031.5,0.008331,41.9174265,7581898.3530405
65,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MDMG,ALOR,RUB,432517.0,825.0,0.008331,6.873075,2972721.779775
66,KOMERCNI BANKA AS COMMON STOCK CZK 100,KOMB,PSECZ,CZK,5652.0,764.0,0.033809,25.830076,145991.589552
67,TURKCELL ILETISIM HIZMET AS,TCELL,BIST,TRY,61090.0,95.0,0.02214,2.1033,128490.597
68,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,0FIZ,LSIN,EUR,12548.0,11.5,0.84891,9.762465,122499.41082
69,OPAP SA COMMON STOCK EUR 0.3,0FI1,LSIN,EUR,11282.0,16.110701,0.84891,13.67653518591,154298.6699674366
70,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,0RTY,LSIN,EUR,48227.0,1.52,0.84891,1.2903432000000001,62229.38150640001
71,PARKIN CO PJSC COMMON STOCK AED 0.02,PARKIN,DFM,AED,234924.0,3.69,0.20763,0.7661547000000001,179988.12674280003
72,ELM CO COMMON STOCK SAR 10,7203,TADAWUL,SAR,764.0,1022.8,0.2016,206.19647999999998,157534.11072
73,BID CORP LTD COMMON STOCK ZAR,BID,JSE,ZAR,7428.0,43241.0,0.04233,18.3039153,135961.4828484
74,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,0RCS,LSIN,EUR,105464.0,0.5268,0.84891,0.44720578800000005,47164.111225632005
75,SALIK CO PJSC COMMON STOCK AED 0.01,SALIK,DFM,AED,187852.0,3.34,0.20763,0.6934842,130272.3939384
76,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,GMKN,ALOR,RUB,7119200.0,119.22,0.008331,0.9932218199999999,7070944.780943999
