,Security Description,Security No.,Holding August 2024,Holding July 2024,Holding June 2024,Holding May 2024,Holding April 2024,Holding March 2024,Holding February 2024,Holding January 2024,Holding December 2023,Holding November 2023,Holding October 2023,Holding September 2023,Holding August 2023,Holding July 2023,Holding June 2023,Holding May 2023,Holding April 2023,Holding March 2023,Holding February 2023,Holding January 2023,Holding December 2022,Holding November 2022,Holding October 2022,Holding September 2022,Holding August 2022,Holding July 2022,Holding June 2022,Holding May 2022,Holding April 2022,Holding March 2022
70,TECOM GROUP PJSC COMMON STOCK AED,BLDC8Q1,234111.0,234111.0,234111.0,234111.0,234111.0,234111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,NOVATEK PJSC COMMON STOCK RUB 0.1,2H6464S,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,1268490.0,0.0,0.0,0.0,0.0,0.0
72,NOVATEK PJSC COMMON STOCK RUB 0.1,0H5828S,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0,103572.0
73,KOMERCNI BANKA AS COMMON STOCK CZK 100,4519449,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,5652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,AKBANK TAS COMMON STOCK TRY 1,B03MN70,111134.0,111134.0,111134.0,111134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,20423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,31957.0,31957.0,31957.0,31957.0,24782.0,24782.0,24782.0,24782.0,24782.0,24782.0,24782.0,24782.0,24782.0,24782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,BID CORP LTD COMMON STOCK ZAR,BZBFKT7,7428.0,7428.0,7428.0,7428.0,7428.0,7428.0,7428.0,16358.0,16358.0,16358.0,18315.0,18315.0,18315.0,18315.0,18315.0,18315.0,18315.0,18315.0,18315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,SALIK CO PJSC COMMON STOCK AED 0.01,BJN5952,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,187852.0,256601.0,256601.0,256601.0,256601.0,256601.0,256601.0,256601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,CO FOR COOPERATIVE INSURANCE/THE COMMON STOCK SAR 10,B128FN6,4403.0,4403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,BZ1MXR7,105464.0,105464.0,105464.0,105464.0,105464.0,105464.0,105464.0,105464.0,105464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,OOREDOO QPSC COMMON STOCK QAR 1,6158174,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,60427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,TURKCELL ILETISIM HIZMET AS,B03MYN3,61090.0,61090.0,61090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,BD5ZXH8,23384.0,30929.0,30929.0,30929.0,30929.0,30929.0,30929.0,30929.0,30929.0,30929.0,30929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,AVI LTD COMMON STOCK ZAR 5,6040958,30154.0,30154.0,30154.0,30154.0,30154.0,30154.0,37161.0,37161.0,33462.0,33462.0,33462.0,55575.0,55575.0,55575.0,55575.0,55575.0,55575.0,55575.0,55575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,0H5804S,7119200.0,7119200.0,7119200.0,7119200.0,7119200.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0,71192.0
86,TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,453680.0,105392.0,105392.0,105392.0,105392.0,85179.0,85179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,B2RLCR0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,B03MZJ6,165133.0,165133.0,165133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4570.0,4570.0,4570.0,4570.0,3428.0,3428.0,3428.0,3428.0,3428.0,3428.0,3428.0,3428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,ERSTE GROUP BANK AG COMMON STOCK EUR 0,5289837,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,0H5827S,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0,2041744.0
92,ROSNEFT OIL CO PJSC COMMON STOCK RUB,2H7674S,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0,1677948.0
93,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,B0704T9,5361.0,5361.0,5361.0,5361.0,5361.0,5361.0,5361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ARABIAN DRILLING CO COMMON STOCK SAR 10,BPNZYP9,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,3385.0,4813.0,4813.0,4813.0,4813.0,5994.0,5994.0,5994.0,5994.0,5994.0,5994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,2H7675S,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,3657350.0,0.0,0.0,0.0,0.0,0.0
96,MAGNIT PJSC COMMON STOCK RUB 0.01,0H5813S,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0,180877.0
97,GAZPROM NEFT PJSC COMMON STOCK RUB,0H5803S,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0,1265335.0
98,TATNEFT PJSC COMMON STOCK RUB,0H5822S,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0,730066.0
99,TATNEFT PJSC PREFERENCE RUB 1,0H5816S,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0,571359.0
100,ROSTELECOM PJSC COMMON STOCK RUB,0H5802S,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0,6156103.0
101,VTB BANK PJSC COMMON STOCK RUB 0.01,0H5837S,4246654.0,4246654.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0,21233273216.0
102,POLYUS PJSC COMMON STOCK RUB,2H7182S,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,29773.0,0.0,0.0,0.0,0.0,0.0
103,YANDEX NV COMMON STOCK USD 0.01,0H6379S,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0,169819.0
104,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,0H6371S,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0,432517.0
105,SISTEMA PJSFC COMMON STOCK RUB 0.09,0H5808S,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0,12313057.0
106,FIX PRICE GROUP LTD GDR,0H6372S,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0,577525.0
107,TCS GROUP HOLDING PLC GDR,0H6380S,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0,75226.0
108,X 5 RETAIL GROUP NV-REGS GDR,0H6365S,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0,275182.0
109,SEVERSTAL PAO GDR USD,0H6368S,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0,552780.0
110,DUBAI TAXI CO PJSC COMMON STOCK AED 0.04,BQ7VXK8,0.0,0.0,0.0,279893.0,279893.0,279893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,LUMI RENTAL CO COMMON STOCK SAR 10,BN4J940,0.0,0.0,0.0,5534.0,5534.0,5534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,ETIHAD ETISALAT CO COMMON STOCK SAR 10,B12LR51,0.0,0.0,0.0,0.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,19263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,MOUWASAT MEDICAL SERVICES CO COMMON STOCK SAR 10,B403QG4,0.0,0.0,0.0,0.0,5665.0,5665.0,7386.0,7386.0,7386.0,7386.0,7386.0,7386.0,7386.0,3693.0,3693.0,3693.0,3693.0,3693.0,3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,JARIR MARKETING CO COMMON STOCK SAR 1,B128FM5,0.0,0.0,0.0,0.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,49840.0,4984.0,4984.0,4984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,ARABIAN CONTRACTING SERVICES CO COMMON STOCK SAR,BP4DC81,0.0,0.0,0.0,0.0,2940.0,2940.0,2940.0,2940.0,3798.0,3798.0,3798.0,5524.0,6612.0,6612.0,6612.0,6612.0,6612.0,6612.0,6612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,FIRST ABU DHABI BANK PJSC COMMON STOCK AED 1,6624471,0.0,0.0,0.0,0.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,49360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,JSC KASPI.KZ GDR-REG S,BMXZ8G7,0.0,0.0,0.0,0.0,0.0,2401.0,2401.0,2401.0,1902.0,1902.0,1902.0,1902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97567.0,97567.0
118,PARKIN CO PJSC COMMON STOCK AED 0.02,WB1B623,0.0,0.0,0.0,0.0,0.0,210042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,MODERN MILLS CO COMMON STOCK SAR 10,BSLKY24,0.0,0.0,0.0,0.0,0.0,4655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,HUMANSOFT HOLDING CO KSC COMMON STOCK KWD 100,B13BYX7,0.0,0.0,0.0,0.0,0.0,5047.0,18169.0,18169.0,13053.0,13053.0,18372.0,18372.0,18372.0,18372.0,18372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,SAUDI BASIC INDUSTRIES CORP COMMON STOCK SAR 10,B1324D0,0.0,0.0,0.0,0.0,0.0,0.0,12384.0,12384.0,12384.0,12384.0,13843.0,13843.0,30265.0,30265.0,30265.0,30265.0,30265.0,30265.0,30265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,ANGLOGOLD ASHANTI PLC ZAR,BRF6FX9,0.0,0.0,0.0,0.0,0.0,0.0,9355.0,9355.0,13785.0,13785.0,13785.0,13785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,MONETA MONEY BANK AS COMMON STOCK CZK 20,BD3CQ16,0.0,0.0,0.0,0.0,0.0,0.0,34487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,AL ANSARI FINANCIAL SERVICES PJSC COMMON STOCK AED,BMWB101,0.0,0.0,0.0,0.0,0.0,0.0,498960.0,498960.0,498960.0,498960.0,498960.0,498960.0,498960.0,721867.0,721867.0,721867.0,721867.0,1539241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,MTN GROUP LTD COMMON STOCK ZAR 0.01,6563206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61285.0,74251.0,74251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,VODACOM GROUP LTD COMMON STOCK ZAR,B65B4D0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,40456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,SAHARA INTERNATIONAL PETROCHEMICAL CO COMMON STOCK SAR 10,B1C1NH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22211.0,22211.0,22211.0,22211.0,22211.0,22211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,6H9334S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133931.0,133931.0,133931.0,133931.0,133931.0,133931.0,133931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,INDUSTRIES QATAR QSC COMMON STOCK QAR 1,6673570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71649.0,71649.0,71649.0,71649.0,71649.0,149253.0,149253.0,149253.0,149253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,OLD MUTUAL LTD COMMON STOCK ZAR,BDVPYN5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300201.0,300201.0,300201.0,300201.0,300201.0,300201.0,300201.0,300201.0,300201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,OUTSURANCE GROUP LTD COMMON STOCK ZAR 0.0001,BN6QSM0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78324.0,78324.0,78324.0,78324.0,78324.0,78324.0,78324.0,78324.0,78324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA COMMON STOCK ZAR 0,B06KZ97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43702.0,43702.0,43702.0,43702.0,43702.0,43702.0,43702.0,43702.0,43702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,FERTIGLOBE PLC COMMON STOCK,BMXCL70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174489.0,174489.0,174489.0,174489.0,174489.0,174489.0,174489.0,174489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,SIBANYE STILLWATER LTD COMMON STOCK ZAR,BL0L913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99566.0,99566.0,99566.0,99566.0,99566.0,99566.0,99566.0,99566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,B1XZS82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.0,4733.0,4733.0,4733.0,4733.0,4733.0,4733.0,4733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,DETSKY MIR PJSC COMMON STOCK RUB 0.0004,0H5850S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0,4003270.0
137,NASPERS LTD COMMON STOCK ZAR 2,6622691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4185.0,4185.0,4185.0,4185.0,4185.0,4185.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,ANGLOGOLD ASHANTI LTD COMMON STOCK ZAR 25,6565655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13785.0,13785.0,13785.0,13785.0,13785.0,10323.0,10323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,IMPALA PLATINUM HOLDINGS LTD COMMON STOCK ZAR 0,B1FFT76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33471.0,33471.0,33471.0,33471.0,33471.0,28379.0,28379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,GRUPA KETY SA COMMON STOCK PLN 2.5,5216385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.0,1672.0,1672.0,1672.0,1672.0,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,SABIC AGRI-NUTRIENTS CO COMMON STOCK SAR 10,B1323K0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8567.0,8567.0,8567.0,8567.0,8567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,TEN SQUARE GAMES SA COMMON STOCK PLN 0.1,BFZCQ74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3244.0,3244.0,3244.0,3244.0,3244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,STS HOLDING SA COMMON STOCK PLN,BMFCKF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48489.0,48489.0,48489.0,48489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,6349688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23970.0,23970.0,23970.0,23970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,MR PRICE GROUP LTD COMMON STOCK ZAR 0.025,BYXW419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15672.0,15672.0,15672.0,15672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,TRUWORTHS INTERNATIONAL LTD COMMON STOCK ZAR 0.015,6113485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38152.0,38152.0,38152.0,38152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC COMMON STOCK AED 1,6322173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39182.0,39182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
