Security Description,Market Value,% of Fund,Security No.,Holding May24,Holding Jun24,Change
JUMBO SA COMMON STOCK EUR 0.88,183389.39,0.009157863131056114,7243530,8071.0,8071.0,0.0
MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,182893.85,0.009133117492848999,5996234,9203.0,9203.0,0.0
UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,180457.24,0.009011441201304746,B2493D0,9725.0,9725.0,0.0
DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,178185.08,0.008897977002029855,6283452,144384.0,144384.0,0.0
BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,174361.17,0.008707023510088601,6100089,14151.0,14151.0,0.0
KRUK SA COMMON STOCK PLN 1,172232.01,0.008600700260613157,B4PTLY0,1892.0,1892.0,0.0
AKBANK TAS COMMON STOCK TRY 1,171762.89,0.008577273950334023,B03MN70,111134.0,111134.0,0.0
CLICKS GROUP LTD COMMON STOCK ZAR 1,171596.53,0.00856896647894496,6105578,11541.0,11541.0,0.0
DUBAI ELECTRICITY & WATER AU,171118.09,0.008545074758511066,BJLTVJ4,361140.0,361140.0,0.0
RIYADH CABLES GROUP CO COMMON STOCK SAR 10,170912.33,0.008534799780673766,BNBPXW7,8057.0,8057.0,0.0
TURK HAVA YOLLARI AO COMMON STOCK TRY 1,170617.93,0.008520098412695047,B03MYK0,22901.0,22901.0,0.0
MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,166827.55,0.008330819298703268,4577469,74864.0,74864.0,0.0
SAUDI AWWAL BANK COMMON STOCK SAR 10,166229.8,0.008300969629174466,B12LSY7,20423.0,20423.0,0.0
ADES HOLDING CO COMMON STOCK SAR 1,165931.89,0.008286092983337033,BR56KM3,39150.0,39150.0,0.0
METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,165452.12,0.008262134847076332,5898664,5598.0,5598.0,0.0
NOVATEK PJSC COMMON STOCK RUB 0.1,147641.39,0.007372725554618383,2H6464S,1268490.0,1268490.0,0.0
NOVATEK PJSC COMMON STOCK RUB 0.1,12581.16,0.0006282617620894967,0H5828S,103572.0,103572.0,0.0
KOMERCNI BANKA AS COMMON STOCK CZK 100,149524.82,0.007466777855882512,4519449,5652.0,5652.0,0.0
TURKCELL ILETISIM HIZMET AS,148149.24,0.0073980859137487915,B03MYN3,0.0,61090.0,61090.0
HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,142983.47,0.0071401243455985535,5051605,12548.0,12548.0,0.0
OPAP SA COMMON STOCK EUR 0.3,140035.85,0.006992929894914336,7107250,11282.0,11282.0,0.0
PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,139266.59,0.0069545155799302675,BNC0DB0,48227.0,48227.0,0.0
PARKIN CO PJSC COMMON STOCK AED 0.02,137623.92,0.006872486041419388,BRRGQF6,0.0,234924.0,234924.0
ELM CO COMMON STOCK SAR 10,137450.47,0.006863824518743066,BNYDSH8,764.0,764.0,0.0
BID CORP LTD COMMON STOCK ZAR,136724.31,0.006827562476041208,BZBFKT7,7428.0,7428.0,0.0
ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,136002.07,0.006791496185249936,BZ1MXR7,105464.0,105464.0,0.0
