,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value
53,NOVATEK PJSC COMMON STOCK RUB 0.1,X84C970,NVTK,RUS,RUB,1,103572,11823.98
54,NOVATEK PJSC COMMON STOCK RUB 0.1,X84C972,NVTK,RUS,RUB,1,1268490,151298.2
55,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,X84C97E,NLMK,RUS,RUB,1,3657350,64454.45
56,OPTIMA BANK SA COMMON STOCK EUR 3.45,BL571C1,OPTIMA,ATHEX,EUR,1,57840,387364.44
57,PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,AED,1,178126,204799.13
58,PIRAEUS BANK SA COMMON STOCK EUR 0.93,BVLKBV3,TPEIR,ATHEX,EUR,1,55866,331412.75
59,POLYUS PJSC COMMON STOCK RUB,X84D1F8,PLZL,RUS,RUB,1,297730,31129.25
60,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,B63DG21,PZU,GPW,PLN,1,22525,310877.66
61,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,QAR,1,257026,235595.8
62,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,QAR,1,169179,644612.88
63,RIYAD BANK COMMON STOCK SAR 10,B12LZW4,1010,TADAWUL,SAR,1,54728,294413.07
64,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,SAR,1,8636,222703.78
65,ROSNEFT OIL CO PJSC COMMON STOCK RUB,X84D1F9,ROSN,RUS,RUB,1,1677948,48575.17
66,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,X84C971,ROSN,RUS,RUB,1,2041744,56504.75
67,ROSTELECOM PJSC COMMON STOCK RUB,X84C978,RTKM,RUS,RUB,1,6156103,39273.28
68,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1,69192,305764.51
69,SARANTIS SA EUR1.53,7124958,SAR,ATHEX,EUR,1,24341,289050.3
70,SASOL LTD COMMON STOCK ZAR 0,6777450,SOL,JSE,ZAC,1,77960,371270.1
71,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1,26440,169697.7
72,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,BYYTJ69,4031,TADAWUL,SAR,1,20014,143687.84
73,SBERBANK OF RUSSIA PJSC,X8C6398,SBER,RUS,RUB,1,2355925,27625.17
74,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,SBER,RUS,RUB,1,14455036,170731.16
75,SEVERSTAL PAO GDR USD,X84C975,CHMF,RUS,RUB,1,552780,246.99
76,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,SHP,JSE,ZAC,1,33424,405257.48
77,SIBANYE STILLWATER LTD COMMON STOCK ZAR,BL0L913,SSW,JSE,ZAC,1,170486,460876.78
78,SISTEMA PJSFC COMMON STOCK RUB 0.09,X84D1F7,AFKS,RUS,RUB,1,12313057,13776.47
79,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAC,1,50500,655192.1
80,TATNEFT PJSC COMMON STOCK RUB,X84C973,TATN,RUS,RUB,1,730066,24622.77
81,TATNEFT PJSC PREFERENCE RUB 1,X8C6150,TATNP,RUS,RUB,1,571359,17065.03
82,TCS GROUP HOLDING PLC GDR,X8C4FD3,TCSG,RUS,RUB,1,75226,1785.78
83,TECOM GROUP PJSC COMMON STOCK AED 0.1,BLDC8Q1,TECOM,DFM,AED,1,228871,157978.36
