,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding Jun24,Market Value,SP JPM,SP Jun24,SP Today,fx gbp jun 24,fx gbp today,SP Jun 24 GBP,Error
30,RICHTER GEDEON NYRT COMMON STOCK HUF 100,BC9ZH86,0QFP,LSIN,HUF,1,11178.0,229173.75,20.502214170692433,9416.5986,10620.074,0.002149,0.002167,20.236270391399998,0.012971466256195743
31,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,0J39,LSE,USD,1,31227.0,227332.08,7.279984628686713,9.14,11.105,0.79054,0.76387,7.225535600000001,0.007479277974318329
32,ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,ADNOCDRILL,ADX,AED,1,250715.0,221391.94,0.8830422591388628,4.1,4.45,0.21482,0.2075,0.8807619999999999,0.002582276346645705
33,ADNOC GAS PLC,BPJLW35,ADNOCGAS,ADX,AED,1,355644.0,221366.02,0.6224371000213696,2.89,3.1,0.21482,0.2075,0.6208298000000001,0.002582268989612555
34,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,BYZ43T4,0RCP,LSIN,EUR,1,127190.0,217829.35,1.7126295306234767,2.0929,0.40525,0.84856,0.85156,1.7759512240000002,0.036973374710800096
35,LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,BF12ZV5,1830,TADAWUL,SAR,1,4537.0,216785.75,47.781739034604364,226.0,216.0,0.2087,0.2015,47.166199999999996,0.012882307070460189
36,GAZPROM PJSC TOTAL,,GAZP,ALOR,RUB,1,19591077.0,226545.49,0.011563707804323366,115.94,123.35,0.009094,0.008326,1.05435836,90.17822569036231
37,BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,TLV,BVB,RON,1,36992.0,201328.39,5.442484591262976,27.87392,28.85,0.17041,0.17091,4.7499947072,0.12723782170640516
38,BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,BF4HYT8,BGEO,LSE,GBX,1,4992.0,201177.6,40.300000000000004,4035.0,4320.0,0.01,0.01,40.35,0.0012406947890818152
39,BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,B0D0006,BIMAS,BIST,TRY,1,15181.0,199645.78,13.15102957644424,545.0,556.0,0.02382,0.02214,12.981900000000001,0.012860557833979646
40,TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,TRY,1,105392.0,198873.83,1.8869917071504478,407.25,515.0,0.02382,0.02214,9.700695,4.140825454208832
41,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,QAR,1,196322.0,197150.01,1.0042176118825197,4.642,4.42,0.21706,0.20957,1.00759252,0.003360733846475432
42,SAUDI TELECOM CO COMMON STOCK,B12M7Q5,7010,TADAWUL,SAR,1,24635.0,194798.62,7.907392733915161,38.099998,39.75,0.2087,0.2015,7.9514695826,0.005574131723063511
43,SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,BMDKMB5,2223,TADAWUL,SAR,1,7008.0,193878.64,27.665331050228314,132.60001,132.39999,0.2087,0.2015,27.673622087,0.0002996904955386669
44,TBC BANK GROUP PLC COMMON STOCK GBP 1,BYT1830,TBCG,LSE,GBX,1,7421.0,190719.7,25.700000000000003,2570.0,3060.0,0.01,0.01,25.7,1.3823788633464982e-16
45,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,BD5ZXH8,0RUK,LSIN,HUF,1,30929.0,190300.29,6.152810954120729,2860.0,2727.0,0.002149,0.002167,6.14614,0.0010842124307851645
46,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,SAR,1,4593.0,187694.81,40.865406052688876,189.0,181.39999,0.2087,0.2015,39.4443,0.03477528281149603
47,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,BG087C6,0RCR,LSIN,EUR,1,28042.0,185064.82,6.5995585193638115,7.83515,2.777,0.84856,0.85156,6.6485948839999995,0.007430249234446523
48,JUMBO SA COMMON STOCK EUR 0.88,7243530,0LRI,LSIN,EUR,1,8071.0,183389.39,22.722015859249165,26.499069,22.58695,0.84856,0.85156,22.486049990639998,0.010384900269010039
49,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,5996234,0MQT,LSIN,EUR,1,9203.0,182893.85,19.87328588503749,24.735661,23.27001,0.84856,0.85156,20.98969249816,0.05617624682604945
50,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,B2493D0,4260,TADAWUL,SAR,1,9725.0,180457.24,18.556014395886887,85.5,95.5,0.2087,0.2015,17.84385,0.03837916810652751
51,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,DIB,DFM,AED,1,144384.0,178185.08,1.2341054410460992,5.74,6.06,0.21482,0.2075,1.2330668,0.0008416145100363341
52,BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,6100089,BVT,JSE,ZAR,1,14151.0,174361.17,12.321473394106425,28445.0,28202.0,0.04302,0.04275,12.237039000000001,0.006852621549855415
53,KRUK SA COMMON STOCK PLN 1,B4PTLY0,0Q3Y,LSIN,PLN,1,1892.0,172232.01,91.03171775898521,463.26297,256.0,0.19634,0.19863,90.9570515298,0.0008202221272249029
54,AKBANK TAS COMMON STOCK TRY 1,B03MN70,AKBNK,BIST,TRY,1,111134.0,171762.89,1.5455476271887991,64.050003,59.150002,0.02382,0.02214,1.5256710714600001,0.012860526184464795
55,CLICKS GROUP LTD COMMON STOCK ZAR 1,6105578,CLS,JSE,ZAR,1,11541.0,171596.53,14.868428212459925,34439.0,35951.0,0.04302,0.04275,14.815657800000002,0.0035491587749470798
56,DUBAI ELECTRICITY & WATER AU,BJLTVJ4,DEWA,DFM,AED,1,361140.0,171118.09,0.47382757379409646,2.2,2.42,0.21482,0.2075,0.4726040000000001,0.0025823186782879927
57,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,SAR,1,8057.0,170912.33,21.212899342186915,99.800003,110.8,0.2087,0.2015,20.8282606261,0.018132302891852647
58,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,B03MYK0,THYAO,BIST,TRY,1,22901.0,170617.93,7.450239290860661,308.75,297.75,0.02382,0.02214,7.354425,0.012860565563068263
59,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,4577469,0NUG,LSE,HUF,1,74864.0,166827.55,2.228408180166702,1054.0,1090.0,0.002149,0.002167,2.265046,0.01644125172371121
60,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1,20423.0,166229.8,8.139342897713362,38.099998,36.299999,0.2087,0.2015,7.9514695826,0.023082123148558238
61,ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,SAR,1,39150.0,165931.89,4.23836245210728,19.959999,21.0,0.2087,0.2015,4.1656517913,0.01715536640126865
62,METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,5898664,0KAZ,LSIN,EUR,1,5598.0,165452.12,29.55557699178278,37.0257,34.040001,0.84856,0.85156,31.418527992,0.06303213098276415
63,LUKOIL PJSC TOTAL,,LKOH,ALOR,RUB,1,624696.0,300684.88,0.4813299268764327,7211.0,6306.5,0.009094,0.008326,65.57683399999999,135.2409240280522
