,Holding,Security Description,Market Value,Security No.
71,3026,SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,176138.24,B133P41
72,2355925,SBERBANK OF RUSSIA PJSC,28281.18,X8C6398
73,14455036,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,174785.52,X8C6155
74,552780,SEVERSTAL PAO GDR USD,252.86,X84C975
75,23805,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,303203.39,6801575
76,174389,SIBANYE STILLWATER LTD COMMON STOCK ZAR,354715.89,BL0L913
77,12313057,SISTEMA PJSFC COMMON STOCK RUB 0.09,14103.62,X84D1F7
78,51656,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,577436.11,B030GJ7
79,730066,TATNEFT PJSC COMMON STOCK RUB,25207.49,X84C973
80,571359,TATNEFT PJSC PREFERENCE RUB 1,17470.27,X8C6150
81,75226,TCS GROUP HOLDING PLC GDR,1828.19,X8C4FD3
82,234111,TECOM GROUP PJSC COMMON STOCK AED 0.1,158153.43,BLDC8Q1
83,91310,THE SAUDI NATIONAL BANK,739058.92,BSHYYN1
84,57451,TUPRAS-TURKIYE PETROL RAFINE,205492.5,B03MYT9
85,32300,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,170286.38,B03MYK0
86,754840,TURKIYE SIGORTA AS COMMON STOCK TRY 1,168745.93,B03MTD8
87,14665,UNITED ELECTRONICS CO COMMON STOCK SAR,262069.81,B4P2SD7
88,13207,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,197148.02,B2493D0
89,12233,VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,576665.52,6761000
90,4246654,VTB BANK PJSC COMMON STOCK RUB 0.01,39109.88,X8C6392
91,72103,WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,145647.88,BSB8C80
92,275182,X 5 RETAIL GROUP NV-REGS GDR,1113.0,X8C4FD9
