,Holding,Security Description,Market Value,Security No.
72,77960,SASOL LTD COMMON STOCK ZAR 0,382346.52,6777450
73,26440,SAUDI AWWAL BANK COMMON STOCK SAR 10,162873.94,B12LSY7
74,20014,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,161781.47,BYYTJ69
75,2355925,SBERBANK OF RUSSIA PJSC,28043.19,X8C6398
76,14455036,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,173314.68,X8C6155
77,552780,SEVERSTAL PAO GDR USD,250.73,X84C975
78,23272,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,281481.84,6801575
79,170486,SIBANYE STILLWATER LTD COMMON STOCK ZAR,419793.07,BL0L913
80,12313057,SISTEMA PJSFC COMMON STOCK RUB 0.09,13984.94,X84D1F7
81,50500,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,586624.07,B030GJ7
82,730066,TATNEFT PJSC COMMON STOCK RUB,24995.37,X84C973
83,571359,TATNEFT PJSC PREFERENCE RUB 1,17323.26,X8C6150
84,75226,TCS GROUP HOLDING PLC GDR,1812.81,X8C4FD3
85,228871,TECOM GROUP PJSC COMMON STOCK AED 0.1,151435.46,BLDC8Q1
86,89266,THE SAUDI NATIONAL BANK,661233.45,BSHYYN1
87,56165,TUPRAS-TURKIYE PETROL RAFINE,194270.01,B03MYT9
88,31577,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,153006.43,B03MYK0
89,737944,TURKIYE SIGORTA AS COMMON STOCK TRY 1,158891.29,B03MTD8
90,14337,UNITED ELECTRONICS CO COMMON STOCK SAR,259877.11,B4P2SD7
91,12911,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,171820.39,B2493D0
92,10460,VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,548683.68,6761000
93,4246654,VTB BANK PJSC COMMON STOCK RUB 0.01,38780.76,X8C6392
94,72103,WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,150948.4,BSB8C80
95,275182,X 5 RETAIL GROUP NV-REGS GDR,1103.64,X8C4FD9
