,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value
52,NOVATEK PJSC COMMON STOCK RUB 0.1,X84C970,NVTK,RUS,RUB,1,103572,12104.76
53,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,X84C97E,NLMK,RUS,RUB,1,3657350,64596.75
54,OPTIMA BANK SA COMMON STOCK EUR 3.45,BL571C1,OPTIMA,ATHEX,EUR,1,59164,417357.63
55,PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,AED,1,182204,209173.6
56,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,BNC0DB0,0RTY,LSIN,EUR,1,57145,339861.67
57,POLYUS PJSC COMMON STOCK RUB,X84D1F8,PLZL,RUS,RUB,1,297730,31197.98
58,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,B63DG21,PZU,GPW,PLN,1,23041,280687.2
59,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,QAR,1,262911,243360.4
60,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,QAR,1,173053,666711.58
61,RIYAD BANK COMMON STOCK SAR 10,B12LZW4,1010,TADAWUL,SAR,1,54728,301678.89
62,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,SAR,1,8834,253161.5
63,ROSNEFT OIL CO PJSC COMMON STOCK RUB,X84D1F9,ROSN,RUS,RUB,1,1677948,48682.41
64,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,X84C971,ROSN,RUS,RUB,1,2041744,57846.57
65,ROSTELECOM PJSC COMMON STOCK RUB,X84C978,RTKM,RUS,RUB,1,6156103,40205.91
66,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1,70776,282733.46
67,SARANTIS SA EUR1.53,7124958,SAR,ATHEX,EUR,1,24898,276031.79
68,SASOL LTD COMMON STOCK ZAR 0,6777450,SOL,JSE,ZAC,1,97375,460528.15
69,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1,36804,241718.06
70,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,BYYTJ69,4031,TADAWUL,SAR,1,20472,183233.31
71,SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,B133P41,2270,TADAWUL,SAR,1,3026,176138.24
72,SBERBANK OF RUSSIA PJSC,X8C6398,SBER,RUS,RUB,1,2355925,28281.18
73,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,SBER,RUS,RUB,1,14455036,174785.52
