,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
22,NOVA LJUBLJANSKA BANKA DD GDR EUR,BGRPD22,55VX,LSE,EUR,1.0,12693,9893,9893,14028,14028,14028,12128,12128,12128,12128,12128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,JSC KASPI.KZ GDR-REG S,BJY21K1,KKS,FWB,EUR,1.0,3119,2401,2401,2401,2401,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,0J39,LSE,USD,1.0,31227,31227,31227,31227,31227,31227,27388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,SAR,1.0,1011,764,764,764,764,764,764,764,764,764,764,1033,1370,1677,2436,2436,2436,2436,1891,1891,0,0,0,0,0,0,0,0,0,0,0
26,ADNOC GAS PLC,BPJLW35,ADNOCGAS,ADX,AED,1.0,355644,355644,355644,355644,355644,299979,247235,247235,247235,247235,247235,153691,153691,153691,153691,153691,153691,153691,153691,0,0,0,0,0,0,0,0,0,0,0,0
27,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,ADIB,ADX,AED,1.0,88181,98209,98209,98209,98209,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,66726,0,0,0,0,0,0,0,0,0,0,0
28,NAC KAZATOMPROM JSC GDR USD,BGXQL36,KAP,LSE,USD,1.0,8205,8205,8205,8205,8205,8205,8205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65502,65502
29,JUMBO SA COMMON STOCK EUR 0.88,7243530,0LRI,LSIN,EUR,1.0,10435,10435,8071,8071,8071,11953,11953,11953,11953,11953,11953,11953,11953,16143,16143,16143,16143,16143,16143,9408,0,0,0,0,0,0,0,0,0,0,0
30,RIYAD BANK COMMON STOCK SAR 10,B12LZW4,1010,TADAWUL,SAR,1.0,44928,44928,44928,44928,44928,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,38596,0,0,0,0,0,0,0,0,0,0,0
31,LPP SA COMMON STOCK PLN 2,7127979,0LVL,LSE,PLN,1.0,71,71,71,71,71,71,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
