,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
98,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,2H7675S,NLMK,ALOR,RUB,1.0,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,3657350,0,0,0,0,0
99,MAGNIT PJSC COMMON STOCK RUB 0.01,0H5813S,MGNT,ALOR,RUB,1.0,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877,180877
100,GAZPROM NEFT PJSC COMMON STOCK RUB,0H5803S,SIBN,ALOR,RUB,1.0,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335,1265335
101,TATNEFT PJSC COMMON STOCK RUB,0H5822S,,,,1.0,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066,730066
102,TATNEFT PJSC PREFERENCE RUB 1,0H5816S,,,,1.0,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359,571359
103,ROSTELECOM PJSC COMMON STOCK RUB,0H5802S,RTKM,ALOR,RUB,1.0,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103,6156103
104,VTB BANK PJSC COMMON STOCK RUB 0.01,0H5837S,VTBR,ALOR,RUB,1.0,4246654,4246654,4246654,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216,21233273216
105,POLYUS PJSC COMMON STOCK RUB,2H7182S,PLZL,ALOR,RUB,1.0,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,29773,0,0,0,0,0
106,YANDEX NV COMMON STOCK USD 0.01,0H6379S,YDEX,ALOR,RUB,1.0,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819,169819
107,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,0H6371S,MDMG,ALOR,RUB,1.0,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517,432517
108,SISTEMA PJSFC COMMON STOCK RUB 0.09,0H5808S,AFKS,ALOR,RUB,1.0,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057,12313057
109,FIX PRICE GROUP LTD GDR,0H6372S,FIXP,ALOR,RUB,1.0,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525,577525
110,TCS GROUP HOLDING PLC GDR,0H6380S,TCSG,ALOR,RUB,1.0,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226,75226
111,X 5 RETAIL GROUP NV-REGS GDR,0H6365S,FIVE,ALOR,RUB,1.0,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182,275182
112,SEVERSTAL PAO GDR USD,0H6368S,CHMF,ALOR,RUB,1.0,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780,552780
113,BID CORP LTD COMMON STOCK ZAR,BZBFKT7,BID,JSE,ZAC,1.0,0,7428,7428,7428,7428,7428,7428,7428,16358,16358,16358,18315,18315,18315,18315,18315,18315,18315,18315,18315,0,0,0,0,0,0,0,0,0,0,0
114,DUBAI TAXI CO PJSC COMMON STOCK AED 0.04,BQ7VXK8,,,,1.0,0,0,0,0,279893,279893,279893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,LUMI RENTAL CO COMMON STOCK SAR 10,BN4J940,,,,1.0,0,0,0,0,5534,5534,5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,ETIHAD ETISALAT CO COMMON STOCK SAR 10,B12LR51,,,,1.0,0,0,0,0,0,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,19263,0,0,0,0,0,0,0,0,0,0,0
117,MOUWASAT MEDICAL SERVICES CO COMMON STOCK SAR 10,B403QG4,,,,1.0,0,0,0,0,0,5665,5665,7386,7386,7386,7386,7386,7386,7386,3693,3693,3693,3693,3693,3693,0,0,0,0,0,0,0,0,0,0,0
118,JARIR MARKETING CO COMMON STOCK SAR 1,B128FM5,,,,1.0,0,0,0,0,0,49840,49840,49840,49840,49840,49840,49840,49840,49840,49840,49840,49840,4984,4984,4984,0,0,0,0,0,0,0,0,0,0,0
119,ARABIAN CONTRACTING SERVICES CO COMMON STOCK SAR,BP4DC81,,,,1.0,0,0,0,0,0,2940,2940,2940,2940,3798,3798,3798,5524,6612,6612,6612,6612,6612,6612,6612,0,0,0,0,0,0,0,0,0,0,0
120,FIRST ABU DHABI BANK PJSC COMMON STOCK AED 1,6624471,,,,1.0,0,0,0,0,0,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,49360,0,0,0,0,0,0,0,0,0,0,0
121,JSC KASPI.KZ GDR-REG S,BMXZ8G7,,,,1.0,0,0,0,0,0,0,2401,2401,2401,1902,1902,1902,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97567,97567
122,PARKIN CO PJSC COMMON STOCK AED 0.02,WB1B623,,,,1.0,0,0,0,0,0,0,210042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,MODERN MILLS CO COMMON STOCK SAR 10,BSLKY24,,,,1.0,0,0,0,0,0,0,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,HUMANSOFT HOLDING CO KSC COMMON STOCK KWD 100,B13BYX7,,,,1.0,0,0,0,0,0,0,5047,18169,18169,13053,13053,18372,18372,18372,18372,18372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,SAUDI BASIC INDUSTRIES CORP COMMON STOCK SAR 10,B1324D0,,,,1.0,0,0,0,0,0,0,0,12384,12384,12384,12384,13843,13843,30265,30265,30265,30265,30265,30265,30265,0,0,0,0,0,0,0,0,0,0,0
126,ANGLOGOLD ASHANTI PLC ZAR,BRF6FX9,,,,1.0,0,0,0,0,0,0,0,9355,9355,13785,13785,13785,13785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,MONETA MONEY BANK AS COMMON STOCK CZK 20,BD3CQ16,,,,1.0,0,0,0,0,0,0,0,34487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,AL ANSARI FINANCIAL SERVICES PJSC COMMON STOCK AED,BMWB101,,,,1.0,0,0,0,0,0,0,0,498960,498960,498960,498960,498960,498960,498960,721867,721867,721867,721867,1539241,0,0,0,0,0,0,0,0,0,0,0,0
129,MTN GROUP LTD COMMON STOCK ZAR 0.01,6563206,,,,1.0,0,0,0,0,0,0,0,0,61285,74251,74251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,VODACOM GROUP LTD COMMON STOCK ZAR,B65B4D0,,,,1.0,0,0,0,0,0,0,0,0,40456,40456,40456,40456,40456,40456,40456,40456,40456,40456,40456,40456,0,0,0,0,0,0,0,0,0,0,0
131,SAHARA INTERNATIONAL PETROCHEMICAL CO COMMON STOCK SAR 10,B1C1NH5,,,,1.0,0,0,0,0,0,0,0,0,0,22211,22211,22211,22211,22211,22211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,6H9334S,,,,1.0,0,0,0,0,0,0,0,0,0,0,133931,133931,133931,133931,133931,133931,133931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,INDUSTRIES QATAR QSC COMMON STOCK QAR 1,6673570,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,71649,71649,71649,71649,71649,149253,149253,149253,149253,0,0,0,0,0,0,0,0,0,0,0
134,OLD MUTUAL LTD COMMON STOCK ZAR,BDVPYN5,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,300201,300201,300201,300201,300201,300201,300201,300201,300201,0,0,0,0,0,0,0,0,0,0,0
135,OUTSURANCE GROUP LTD COMMON STOCK ZAR 0.0001,BN6QSM0,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,78324,78324,78324,78324,78324,78324,78324,78324,78324,0,0,0,0,0,0,0,0,0,0,0
136,WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA COMMON STOCK ZAR 0,B06KZ97,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,43702,43702,43702,43702,43702,43702,43702,43702,43702,0,0,0,0,0,0,0,0,0,0,0
137,FERTIGLOBE PLC COMMON STOCK,BMXCL70,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,174489,174489,174489,174489,174489,174489,174489,174489,0,0,0,0,0,0,0,0,0,0,0
138,SIBANYE STILLWATER LTD COMMON STOCK ZAR,BL0L913,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,99566,99566,99566,99566,99566,99566,99566,99566,0,0,0,0,0,0,0,0,0,0,0
139,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,B1XZS82,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4733,4733,4733,4733,4733,4733,4733,4733,0,0,0,0,0,0,0,0,0,0,0
140,DETSKY MIR PJSC COMMON STOCK RUB 0.0004,0H5850S,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270,4003270
141,NASPERS LTD COMMON STOCK ZAR 2,6622691,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185,4185,4185,4185,4185,4185,4185,0,0,0,0,0,0,0,0,0,0,0
142,ANGLOGOLD ASHANTI LTD COMMON STOCK ZAR 25,6565655,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13785,13785,13785,13785,13785,10323,10323,0,0,0,0,0,0,0,0,0,0,0
143,IMPALA PLATINUM HOLDINGS LTD COMMON STOCK ZAR 0,B1FFT76,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,33471,33471,33471,33471,33471,28379,28379,0,0,0,0,0,0,0,0,0,0,0
144,GRUPA KETY SA COMMON STOCK PLN 2.5,5216385,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672,1672,1672,1672,1672,1672,0,0,0,0,0,0,0,0,0,0,0
145,SABIC AGRI-NUTRIENTS CO COMMON STOCK SAR 10,B1323K0,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8567,8567,8567,8567,8567,0,0,0,0,0,0,0,0,0,0,0
146,TEN SQUARE GAMES SA COMMON STOCK PLN 0.1,BFZCQ74,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3244,3244,3244,3244,3244,0,0,0,0,0,0,0,0,0,0,0
147,STS HOLDING SA COMMON STOCK PLN,BMFCKF9,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48489,48489,48489,48489,0,0,0,0,0,0,0,0,0,0,0
148,MR PRICE GROUP LTD COMMON STOCK ZAR 0.025,BYXW419,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15672,15672,15672,15672,0,0,0,0,0,0,0,0,0,0,0
149,TRUWORTHS INTERNATIONAL LTD COMMON STOCK ZAR 0.015,6113485,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38152,38152,38152,38152,0,0,0,0,0,0,0,0,0,0,0
150,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC COMMON STOCK AED 1,6322173,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39182,39182,0,0,0,0,0,0,0,0,0,0,0
151,ABU DHABI NATIONAL OIL CO FOR DISTRIBUTION PJSC COMMON STOCK AED 0.08,BYVGM64,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161563,161563,0,0,0,0,0,0,0,0,0,0,0
152,NOVATEK PJSC GDR USD,0H6366S,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126849,126849,126849,126849,126849
153,POLYUS PJSC GDR,0H6381S,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59546,59546,59546,59546,59546
154,NOVOLIPETSK STEEL PJSC GDR,0H6378S,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365735,365735,365735,365735,365735
155,JPM USD LIQUIDITY LVNAV X (DIST.),7253766,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068104.66,2057702.13,2097857.99,1851004.17
156,UNITED CO RUSAL INTERNATIONAL PJSC COMMON STOCK HKD 0.656517,BNGCVV8,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198000,4198000
