Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
TATNEFT PJSC PREFERENCE RUB 1,TATNEFT PJSC PREFERENCE RUB 1,X8C6150,TATNP,RUS,RUB,1
TATNEFT PJSC PREFERENCE RUB 1,TATNEFT PJSC PREFERENCE RUB 1,0H5816S,TATNP,RUS,RUB,1
TBC BANK GROUP PLC COMMON STOCK,TBC BANK GROUP PLC,BYT1830,TBCG,LSE,GBX,1
TCS GROUP HOLDING PLC GDR,TCS GROUP HOLDING PLC GDR,X8C4FD3,TCSG,RUS,RUB,1
TCS GROUP HOLDING PLC GDR,TCS GROUP HOLDING PLC GDR,0H6380S,TCSG,RUS,RUB,1
TECOM GROUP PJSC COMMON STOCK AED 0.1,TECOM GROUP PJSC,BLDC8Q1,TECOM,DFM,AED,1
TEN SQUARE GAMES SA COMMON STOCK PLN 0.1,TEN SQUARE GAMES SA,BFZCQ74,TEN,GPW,PLN,1
THE SAUDI NATIONAL BANK,THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1
TITAN CEMENT INTERNATIONAL SA COMMON STOCK EUR,TITAN CEMENT INTERNATIONAL SA,BJ8PD99,TWI,NYSE,USD,1
TRUWORTHS INTERNATIONAL LTD COMMON STOCK ZAR 0.015,TRUWORTHS INTERNATIONAL LTD,6113485,TRU,JSE,ZAC,1
TUPRAS-TURKIYE PETROL RAFINE,TUPRAS-TURKIYE PETROL RAFINE,B03MYT9,TUPRS,BIST,TRY,1
TURK HAVA YOLLARI AO COMMON STOCK TRY 1,TURK HAVA YOLLARI AO,B03MYK0,THYAO,BIST,TRY,1
TURKCELL ILETISIM HIZMET AS,TURKCELL ILETISIM HIZMET AS,B03MYN3,TCELL,BIST,TRY,1
TURKIYE GARANTI BANKASI AS COMMON STOCK TRY 1,TURKIYE GARANTI BANKASI AS,B03MYP5,GARAN,BIST,TRY,1
TURKIYE SIGORTA AS COMMON STOCK TRY 1,TURKIYE SIGORTA AS,B03MTD8,RAYSG,BIST,TRY,1
UNITED ELECTRONICS CO COMMON STOCK SAR,UNITED ELECTRONICS CO,B4P2SD7,4003,TADAWUL,SAR,1
UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,UNITED INTERNATIONAL TRANSPORTATION CO,B2493D0,4260,TADAWUL,SAR,1
VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,VALTERRA PLATINUM LTD,6761000,VAL,JSE,ZAC,1
VODACOM GROUP LTD COMMON STOCK ZAR,VODACOM GROUP LTD,B65B4D0,VOD,JSE,ZAC,1
VTB BANK PJSC COMMON STOCK RUB 0.01,VTB BANK PJSC,0H5837S,VTBR,RUS,RUB,1
VTB BANK PJSC COMMON STOCK RUB 0.01,VTB BANK PJSC,X8C6392,VTBR,RUS,RUB,1
WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,WE BUY CARS HOLDINGS LTD,BSB8C80,WBC,JSE,ZAC,1
WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA COMMON STOCK ZAR 0,WOOLWORTHS HOLDINGS LTD/SOUTH AFRICA,B06KZ97,WHL,JSE,ZAC,1
X 5 RETAIL GROUP NV-REGS GDR,X 5 RETAIL GROUP NV-REGS GDR,0H6365S,X5,RUS,RUB,1
X 5 RETAIL GROUP NV-REGS GDR,X 5 RETAIL GROUP NV-REGS GDR,X8C4FD9,X5,RUS,RUB,1
YANDEX NV COMMON STOCK USD 0.01,YANDEX NV,0H6379S,YDEX,RUS,RUB,1
YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,YAPI VE KREDI BANKASI AS,B03MZJ6,YKBNK,BIST,TRY,1
