,Valuation Date,Issuer Grouping,SEDOL Code,Quantity,Currency,Country,Symbol,Exchange
60,6/30/2024,RIYAD BANK,B12LZW4,155080,SAR,Saudi Arabia,1010,TADAWUL
61,6/30/2024,RON CASH(COMMITTED),CASH_RON,113263,RON,Romania,RON,FX_IDC
62,6/30/2024,SAR CASH(COMMITTED),CASH_SAR,8281,SAR,Saudi Arabia,SAR,FX_IDC
63,6/30/2024,SAUDI ARABIAN MINING,B3C8VY3,151825,SAR,Saudi Arabia,1211,TADAWUL
64,6/30/2024,SAUDI AWWAL BANK,B12LSY7,121258,SAR,Saudi Arabia,1060,TADAWUL
65,6/30/2024,SAUDI BASIC INDUSTRIES,B1324D0,173192,SAR,Saudi Arabia,2010,TADAWUL
66,6/30/2024,SAUDI TADAWUL GROUP CO,BMZQ749,19029,SAR,Saudi Arabia,1111,TADAWUL
67,6/30/2024,SAUDI TELECOM,B12M7Q5,287416,SAR,Saudi Arabia,7010,TADAWUL
68,6/30/2024,SBERBANK ROSSII,4767981,1374068,RUB,Russian Federation,SBER,ALOR
69,6/30/2024,SHOPRITE HOLDINGS LTD,6801575,100821,ZAR,South Africa,SHP,JSE
70,6/30/2024,THE COOPERATIVE INSURANCE,B128FN6,7160,SAR,Saudi Arabia,8010,TADAWUL
71,6/30/2024,THE SAUDI NATIONAL BANK,BSHYYN1,351701,SAR,Saudi Arabia,1180,TADAWUL
72,6/30/2024,TRY CASH(Alpha Committed),CASH_TRY,7,TRY,Turkey,TRY,FX_IDC
73,6/30/2024,UNITED COMPANY RUSAL,BNGCVY1,572570,RUB,Russian Federation,RUAL,ALOR
74,6/30/2024,USD CASH(Alpha Committed),CASH_USD,5226829,USD,United States,USD,FX_IDC
75,6/30/2024,YANDEX NV CLASS A,B5BSZB3,82492,USD,Russian Federation,YDEX,ALOR
76,6/30/2024,YAPI VE KREDI BANKASI A,B03MZJ6,1398483,TRY,Turkey,YKBNK,BIST
77,6/30/2024,ZAR CASH(Alpha Committed),CASH_ZAR,403,ZAR,South Africa,ZAR,FX_IDC
