Menhaden Re Plc, MHN, 
Maven Income 1, MIG1, 
Maven Grwth 3, MIG3, 
Maven I&g Vct5, MIG5, 
Migo Opp Trust, MIGO, 
Miton Uk, MINI, 
Mobeus I&g, MIX, 
Mobius Investm., MMIT, 
Monks Inv, MNKS, 
Manchester&lon., MNL, 
Martin Currie Global Portfolio Trust, MNP, 
Mercantile Investment Trust PLC, MRC, 
Merchants Trust, MRCH, 
Montanaro, MTE, 
Montanaro Uk, MTU, 
Murray Income Trust, MUT, 
Molten Ventures, MVCT, 
Marwyn Value 16, MVIR, 
Mid Wynd International Investment Trust, MWY, 
Murray International, MYI, 
North American, NAIT, 
North Atl.smlr, NAS, 
Nippon Active ., NAVF, 
New Star Inv, NSI, 
Northern 3 Vct, NTN, 
Northern 2 Vct, NTV, 
Northern Venture Trust, NVT, 
Octopus Ap, OAP3, 
Octopus Fut Gen, OFG, 
Odyssean Inves., OIT, 
Octopus Aim, OOA, 
Octopus Energy, ORIT, 
Octopus Aim 2, OSEC, 
Oxford Tech Ot1, OT1, 
Oxford Tech Ot3, OT3, 
Oxford Tech Ot4, OT4, 
Octopus T.vct, OTV2, 
Oberon Aim, OVCT, 
Oxford Technology 2 VCT, OXH, 
Pacific Assets, PAC, 
Polar Cap Gbl, PCFT, 
Polar Cap Glbl, PCGH, 
Polar Capital Technology Trust, PCT, 
Pembroke Vct, PEMB, 
Proven Growth, PGOO, 
Praetura, PGV, 
Pacific Horizon, PHI, 
Pantheon International, PIN, 
Pantheon Infr, PINT, 
Premier Miton, PMGR, 
Personal Assets Trust, PNL, 
Patria Private, PPET, 
Puma Vct 13 Plc, PU13, 
Puma Alpha Vct., PUAL, 
Proven Vct, PVN, 
Riverstone Cred, RCOI, 
RIT Capital Partners, RCP, 
Rights &iss., RIII, 
Rockwood Strat., RKW, 
Rm Infra Inc, RMII, 
River Uk Micro, RMMC, 
Ecofin U.s., RNEP, 
Atrato Onsite, ROOF, 
Riverstone Energy, RSE, 
Scot.amer.inv., SAIN, 
